open,high,low,close,volume
100.51,100.89,99.64,100.73,28438012
100.58,101.7099,100.45,101.5,30574964
102.37,103.75,101.37,103.01,40276161
102.39,102.83,100.96,101.87,30869072
100.78,101.76,100.4,101.04,26756386
101.31,101.58,100.27,101.11,22629611
101.41,102.24,100.15,101.17,28819295
102.24,102.28,101.5,102.25,22251329
101.91,102.91,101.78,102.52,20440438
103.96,105.18,103.85,104.58,33328948
104.61,106.31,104.59,105.97,32804254
105.52,106.47,104.96,105.8,27830114
106.34,106.5,105.19,105.91,33514624
105.93,107.65,105.1401,105.91,30713719
105.25,107.29,105.21,106.74,26580707
106.48,107.07,105.9,106.14,22090263
105.47,106.25,104.89,105.66,21472996
106,106.19,105.06,105.19,15799738
104.89,107.79,104.88,107.68,26057319
108.65,110.42,108.6,109.59,38950603
109.72,109.9,108.88,108.96,19859405
108.78,110,108.2,109.96,20601979
110.42,112.19,110.27,111.1299,31875602
109.65,110.73,109.42,109.803,22556763
110.23,110.98,109.2,110.951,22315281
109.95,110.42,108.121,108.54,25673179
108.91,109.77,108.17,108.66,19868446
108.97,110.61,108.83,109.03,23700140
109.37,110.5,108.66,110.44,23749272
110.8,112.34,110.8,112.04,28494232
111.62,112.39,111.33,112.1,21602652
112.02,112.3,109.73,109.814,38138643
108.9,108.95,106.94,107.4,42246981
107.88,108,106.23,106.95,27179179
106.64,108.09,106.06,107.13,24254322
106.93,106.93,105.52,105.97,27406971
105.02,106.48,104.62,105.68,27562177
105,105.65,104.51,105.08,23906931
103.91,105.3,103.91,104.3,34900209
96,98.71,95.68,97.81,96061804
97.61,97.88,94.25,94.82,73560823
93.99,94.72,92.51,93.74,59167068
93.96,94.08,92.4,93.64,42747840
94.2,95.74,93.68,95.18,49908773
95.2,95.9,93.82,94.23,33529282
94,94.07,92.68,93.24,30332575
93.37,93.45,91.85,92.72,38967549
93,93.77,92.59,92.79,27212357
93.33,93.57,92.11,93.4,29906998
93.46,93.57,92.46,92.51,24194828
92.77,92.78,89.47,90.34,68769903
90.01,91.67,90,90.52,38788350
92.45,94.39,91.65,93.87,51078865
94.55,94.7,93.01,93.48,39312545
94.16,95.21,93.89,94.57,36439836
94.63,94.64,93.57,94.2,24660588
94.7,95.43,94.52,95.22,26446796
95.87,97.19,95.67,96.42,30951454
97.24,98.09,96.84,97.88,28951649
98.67,99.74,98.11,99.6,31725301
