open,high,low,close,volume
53,53.07,52.38,53.07,26635086
52.71,53.59,52.63,53.17,18265882
52.75,53.59,52.74,53.59,17277914
53.45,54.6,53.4,54.35,26422452
54.2,55,54,54.69,22610905
54.85,54.97,53.445,53.49,45848254
53.22,53.9298,52.93,53.86,19995018
53.73,54.25,53.46,54.09,17723075
54.16,54.24,53.74,53.98,16467924
53.84,54.33,53.73,54.21,14108267
54.24,54.29,53.33,53.54,13669809
53.66,54.86,53.45,54.72,19294567
54.86,55.64,54.86,55.05,19409696
54.83,55.59,54.83,55.23,19646317
55.07,55.61,54.57,55.57,18327949
55.43,55.66,55,55.43,14459527
55.19,55.3,54.46,54.56,16044777
54.37,55.2,54.21,55.13,17712195
54.87,54.91,54.23,54.45,15126094
54.68,55.28,54.32,54.42,18713669
54.49,55.15,54.3,54.31,17875926
54.37,54.78,53.76,54.65,21166755
55.11,55.4375,54.89,55.35,16745136
55.23,55.575,55.07,55.36,17029052
55.27,55.92,55.11,55.64,22361425
55.35,56.59,55.21,56.45,19428171
56.64,56.77,55.68,56.4,22695345
56.29,56.5,55.485,55.6,30615293
55.57,56.23,55.415,55.7875,31112635
51.96,52.4297,50.77,51.77,109523485
51.78,52.13,51.6,52.12,29261705
52.26,52.35,51.09,51.44,29236759
51.48,51.5,50.55,50.94,37188243
50.62,50.77,49.56,49.89,37060014
49.35,50.25,49.35,49.88,41762090
50.01,50.75,49.7799,50.61,30135932
50.34,50.41,49.6,49.78,22504718
49.91,50.06,49.46,49.87,19817304
49.89,50.3,49.73,49.94,20753640
49.91,50.39,49.66,50.39,21639797
50.55,50.585,50,50.07,14545068
50.41,51.1,50.19,51.02,19226418
51.13,51.78,51,51.05,18931903
51.2,51.81,50.92,51.51,20786332
51.44,51.895,51.04,51.08,18559195
50.8,51.96,50.75,51.83,14498017
51.72,51.73,50.36,50.51,22029999
50.48,51.14,50.3,50.81,17119173
50.47,50.62,49.82,50.32,20761441
50.49,51.22,50.4,50.63,19255710
50.6,50.68,49.98,50.03,19461157
50.69,51.71,50.4,51.59,29363034
51.95,52.49,51.79,52.14,20671981
51.94,51.9793,51.36,51.89,20666718
51.92,52.31,51.77,52.31,13658074
52.16,53,52.08,53,21990641
52.44,52.95,52.44,52.85,20898367
52.64,52.74,51.835,52.48,19066298
52.31,52.42,51.6,51.79,18637193
51.95,52.35,51.89,52.14,14453072
52.27,52.73,52.1,52.1,15930778
52.01,52.44,51.87,52.04,16839607
52,52,51.49,51.62,15444745
51.05,52.05,51.04,51.49,22129473
