open,high,low,close,volume
97.42,99.42,97.17,98.13,10306863
97.87,98.51,96.43,97.85,8792322
97.53,99.73,97.5,99.35,11608998
99,101.39,99,99.72,12159890
100.5,102.41,100.01,101.115,13259836
101.03,102.1,97.023,101.06,8831853
100.48,101.52,99.2,99.84,8171013
99.75,100.39,98.81,99.59,7553914
98.64,98.85,97.07,98.36,9687841
98.34,101.44,97.82,101.22,11374237
101.08,104.33,101,104.15,14791130
104.65,104.91,101.4805,102.19,13179971
102.43,103.53,101.05,102.24,8353019
102.91,105.79,102.47,105.68,12647898
105.9,105.92,103.2,104.35,9915861
103.48,105.75,103.25,104.95,8902466
105.3,106.44,104.25,104.8301,8741779
104.31,106.435,103.6,104.45,9694448
105.13,105.326,102.82,103.81,7144864
104.04,104.98,102.62,102.68,6600036
103.15,107.22,102.21,106.98,11269974
108,111.28,107.88,109.65,15107447
110.01,111.64,109.15,110.43,8575034
110.63,111.85,109.7803,111.51,10660151
109.9,110.7,106.02,108.5,19991801
99.49,101.37,94.2,94.31,49740687
94.34,96.98,93.14,96.77,23449659
97.31,97.38,94.78,94.97,17079866
94.79,96.69,94.21,95.9,13421044
95.68,95.7461,92.8,93.56,13227046
93.34,93.55,91.25,92.43,13177724
92.11,92.5,90.21,91.04,11045716
91.44,92.67,90.09,90.28,10250223
90.47,90.56,88.21,90.03,12524561
90.41,93.22,89.8901,93.13,11136145
92.08,93.25,91.3,91.55,9525378
90.92,92.16,90.35,90.78,6661948
90.91,92.0775,89.25,89.37,9295501
88.83,90.88,88.11,90.84,9568408
90.73,91.828,89.9,90.54,8673792
91.14,93.25,91.09,92.87,10161939
92.25,92.59,89.9,90.01,10579066
90.32,90.41,85.74,87.74,18864596
87.39,88.59,86.26,87.88,10484030
87.56,90,86.15,89.12,10285765
89,90.87,88.172,88.63,10496620
88.25,91.72,88.25,90.5,12654868
90.16,91.27,88.3,89.53,10393204
90.08,93.28,89.98,92.5,13761184
92.98,95.2924,92.85,94.88,12554513
95.98,99.14,95.75,97.89,18463323
99,100.31,98.3,100.25,13861037
103.21,104,101.38,102.84,15357484
102.44,103.5,101.44,103.29,8105492
102.94,103.45,102.13,102.58,6773519
101.5,101.92,100.16,101.49,7502716
101.2,102.15,100.77,101.25,6913310
100.99,101,98.53,99.55,8270350
100.29,101.0712,99.72,100.74,5902200
101.2,101.63,99.77,99.9,5638209
100.01,100.28,97.6,97.86,8459226
97.22,98.433,96.664,97.09,8132573
94.88,95.35,93.28,93.75,11650095
95.03,97.2,93.62,93.85,11923827
94.16,95.8,93.27,94.12,7808247
94.61,95.46,93.5,94.29,6718691
94.18,95.56,93.2474,95.44,6834807
95.75,95.77,94.2,94.45,6669478
95.22,95.88,93.65,93.81,7937106
93.84,93.88,90.77,90.99,13868141
90.78,91.98,89.77,90,8241137
90.62,91.68,88.15,91.65,9620753
87.53,90.49,87.21,88.44,9238532
87.92,88,84.81,85.3105,12129713
87.26,88.88,86.41,87.97,10267156
89.58,91.97,88.7,91.06,10377676
90.91,91.7201,89.9,91.49,7444673
95,97,94.8,96.69,14636005
95.31,101.27,93.31,97.91,24001615
95.08,96,93.55,94.6,14666681
