open,high,low,close,volume
214.56,218.97,211.5,218.33,2580332
218,222.58,217.02,221.93,2881992
221.47,228.5,220,226.38,3058154
229.1,234.48,228.06,232.4261,3826682
235.34,239.88,235,238.01,4343698
237.21,238.99,232.558,234.24,3485529
232.37,234.73,222.03,222.57,4055878
215.78,228.8877,215,227.67,4191500
231.68,234.81,225,230.25,3254071
229.89,232.38,225.33,230.08,3204959
235.09,235.5,226.5,226.6,3421395
229.34,237.42,225.01,229.72,6393681
244.825,247.9,233.25,237.52,13186164
249.12,252.12,243.64,246.99,10850453
240.5,256.56,240,255.61,8352584
254.48,267.74,253.45,265.45,9448310
266.45,269.34,254.51,257.2,7273717
260.5,260.82,248.0201,250.02,6041484
251.24,258.99,245.3,249.83,7804246
249.5,251.8,243.63,247.82,4803865
248.51,255.5,247.33,254.53,4180730
253,256.839,251.0501,251.84,3507893
251.31,254.6,249.12,254.45,3077318
252.23,258.31,251.66,253.87,3632034
253.12,254.3699,241.251,247.37,5323758
246.26,253.66,241.5,249.97,4482830
248.99,250.9,246.91,248.18,2297632
248.89,254,245.71,253.69,3217401
253.01,257.38,250.76,251.8,2952132
252.05,255.73,249.39,253.66,2735942
252.75,255,249.4,251.41,2700936
249.85,253.43,247.44,247.71,2093820
248.14,248.43,237.81,240.74,4387793
241.5,243.19,234.82,241.8,3202716
237.36,238.91,231.62,232.37,3531073
230.29,234.46,220.4,222.5,6239596
228.46,228.64,209.79,211.48,9190151
210.87,216.37,208.11,214.92,4913666
215.72,216.15,206.8,208.82,3955651
207.55,209.47,205,208.67,3381420
207.59,215.48,206.05,208.94,4034735
211.44,211.67,203.6572,207.2001,3043535
207.78,211.2,206.7,207.78,2319456
208.15,213.15,207.92,208.23,2408334
209.05,209.8199,204.02,204.72,2229189
209.15,215.31,207.75,211.16,4306188
213.62,216.79,207.3,215.12,5578856
216.99,220.55,216.35,220.33,7061744
219.87,222.6,215.86,216.13,4248456
216.6,218.74,215.18,217.81,2458131
217.91,221.36,216.51,219.57,2451902
220.5,225.26,219.05,225.21,3502340
224.99,225.93,220.75,222.89,2741481
223.04,224.7497,221.5001,223.14,1603426
221.48,222.4,216.89,219.46,2504366
219.59,219.909,217.11,218.96,1556270
220,221.94,218.01,218.99,1843110
218.1,220.9,215.45,220.69,1860897
221.87,234.44,221.52,232.5,5233386
233.8,240.845,232.605,235.51,4996452
234.98,235.33,227.06,229.36,3811030
227.39,227.97,218.4217,218.8,5095226
219.5,225.77,217.66,217.86,3508629
218.88,222.2,212.53,214.95,2924983
216.95,221.9,215.13,217.7,2352913
217.42,218.04,213.5,217.93,2041975
217.81,219.99,214.5,215.48,2356529
219.43,223.75,218.23,219.68,2865352
220.79,222.569,218.81,219.6,2062781
199.37,205.95,195.75,196.66,18402031
195.69,197.55,192.13,196.3549,7832692
190.11,195.12,189.73,193.15,5096258
190.86,198.81,187.87,198.59,5914993
201.89,204.05,199.41,201.74,3968573
204.97,211.78,203,210.16,4535041
212.97,213.4999,209.02,212.27,3303481
206.44,218.24,206,216.5,4137186
209.65,214.5441,208,213.96,4128572
210.19,215.23,209,214.42,3479044
213.1,218.12,213.01,215.9,2575628
217.8,219.81,214.5,216.78,2982594
219.96,226.78,219.51,224.78,4287358
224.13,227.5,223.22,224.69,3429818
225.47,225.59,220.29,222.51,2740870
223.13,224.94,221.05,221.43,2122291
222.46,222.7499,219.64,220.39,1775149
219.64,227.09,218.3,226.31,2789807
225.01,229.1,224.75,225.26,2269268
226.47,229.8,225,228.1191,2051631
226,227.847,219.1,220.35,3567274
221.99,224.5,218.88,222.26,2141372
222.3,231.39,221.3715,230.13,3790758
227.69,230,225.3,229.4,2535826
229.33,233.36,226.92,228.46,2313094
227.95,230.76,226.6,230.38,1842114
230.7,235.28,230.24,234.725,2446427
235.5,236.63,229.38,229.63,3346375
229.37,229.87,221.4,227.14,3115823
227.37,229.699,224.21,225.58,2719741
225.69,230.86,222.05,230.62,3347420
230,232,227.4,229.99,2468636
228,229.6,226.09,226.17,1727448
226.82,231.5375,226.65,229.03,1656670
228.24,229.87,224.62,225.64,1815557
226.17,227.57,223.41,224.9,1449490
225.38,226.65,224.04,225.6,1248689
226.03,229.5,224.93,225.59,1610710
225.49,227.19,223.4101,223.71,1555817
