day,open,high,low,close,volume
2019-07-12 00:00:00-04:00,378.68,379.7375,372.7917,373.25,6776226
2019-07-11 00:00:00-04:00,381.1,384.54,378.8,379.5,4529275
2019-07-10 00:00:00-04:00,382.77,384.3399,362.68,381,6043539
2019-07-09 00:00:00-04:00,379.06,384.76,377.5,379.93,6989168
2019-07-08 00:00:00-04:00,378.13,378.25,375.36,376.16,3311014
2019-07-05 00:00:00-04:00,378.29,381.4,375.555,380.55,3853092
2019-07-03 00:00:00-04:00,376.69,381.99,375.84,381.915,3887284
2019-07-02 00:00:00-04:00,374.89,376,370.31,375.43,3618570
2019-07-01 00:00:00-04:00,373.5,376.66,372.01,374.6,4969908
2019-06-28 00:00:00-04:00,370.26,371.49,364.87,367.32,4587527
